date,location,total_cases,,,,
2019/12/31,South Korea,0,,,,
2020/1/1,South Korea,0,,,,
2020/1/2,South Korea,0,,,,
2020/1/3,South Korea,0,,,,
2020/1/4,South Korea,0,,,,
2020/1/5,South Korea,0,,,,
2020/1/6,South Korea,0,,,,
2020/1/7,South Korea,0,,,,
2020/1/8,South Korea,0,,,,
2020/1/9,South Korea,0,,,,
2020/1/10,South Korea,0,,,,
2020/1/11,South Korea,0,,,,
2020/1/12,South Korea,0,,,,
2020/1/13,South Korea,0,,,,
2020/1/14,South Korea,0,,,,
2020/1/15,South Korea,0,,,,
2020/1/16,South Korea,0,,,,
2020/1/17,South Korea,0,,,,
2020/1/18,South Korea,0,,,,
2020/1/19,South Korea,0,,,,
2020/1/20,South Korea,1,,,,
2020/1/21,South Korea,1,,,,
2020/1/22,South Korea,1,,,,
2020/1/23,South Korea,1,,,,
2020/1/24,South Korea,2,,,,
2020/1/25,South Korea,2,,,,
2020/1/26,South Korea,3,,,,
2020/1/27,South Korea,4,,,,
2020/1/28,South Korea,4,,,,
2020/1/29,South Korea,4,,,,
2020/1/30,South Korea,4,,,,
2020/1/31,South Korea,7,,,,
2020/2/1,South Korea,12,,,,
2020/2/2,South Korea,15,,,,
2020/2/3,South Korea,15,,,,
2020/2/4,South Korea,16,,,,
2020/2/5,South Korea,18,,,,
2020/2/6,South Korea,23,,,,
2020/2/7,South Korea,24,,,,
2020/2/8,South Korea,24,,,,
2020/2/9,South Korea,25,,,,
2020/2/10,South Korea,27,,,,
2020/2/11,South Korea,28,,,,
2020/2/12,South Korea,28,,,,
2020/2/13,South Korea,28,,,,
2020/2/14,South Korea,28,,,,
2020/2/15,South Korea,28,,,,
2020/2/16,South Korea,29,,,,
2020/2/17,South Korea,30,,,,
2020/2/18,South Korea,31,,,,
2020/2/19,South Korea,46,,,,
2020/2/20,South Korea,80,,,,
2020/2/21,South Korea,155,,,,
2020/2/22,South Korea,345,,,,
2020/2/23,South Korea,601,,,,
2020/2/24,South Korea,762,,,,
2020/2/25,South Korea,892,,,,
2020/2/26,South Korea,1146,,,,
2020/2/27,South Korea,1595,,,,
2020/2/28,South Korea,2022,,,,
2020/2/29,South Korea,2931,,,,
2020/3/1,South Korea,3526,,,,
2020/3/2,South Korea,4212,,,,
2020/3/3,South Korea,4812,,,,
2020/3/4,South Korea,5328,,,,
2020/3/5,South Korea,5766,,,,
2020/3/6,South Korea,6284,,,,
2020/3/7,South Korea,6767,,,,
2020/3/8,South Korea,7134,,,,
2020/3/9,South Korea,7382,,,,
2020/3/10,South Korea,7513,,,,
2020/3/11,South Korea,7755,,,,
2020/3/12,South Korea,7869,,,,
2020/3/13,South Korea,7979,,,,
2020/3/14,South Korea,8086,,,,
2020/3/15,South Korea,8162,,,,
2020/3/16,South Korea,8236,,,,
2020/3/17,South Korea,8320,,,,
2020/3/18,South Korea,8413,,,,
2020/3/19,South Korea,8565,,,,
2020/3/20,South Korea,8652,,,,
2020/3/21,South Korea,8799,,,,
2020/3/22,South Korea,8897,,,,
2020/3/23,South Korea,8961,,,,
2020/3/24,South Korea,9037,,,,
2020/3/25,South Korea,9137,,,,
2020/3/26,South Korea,9241,,,,
2020/3/27,South Korea,9332,,,,
2020/3/28,South Korea,9478,,,,
2020/3/29,South Korea,9583,,,,
2020/3/30,South Korea,9661,,,,
2020/3/31,South Korea,9786,,,,
